half,bed,block
2,1,1
2,2,1
2,3,1
2,4,1
2,5,2
2,6,2
2,7,2
2,8,2
2,9,3
2,10,3
2,11,3
2,12,3
2,13,4
2,14,4
2,15,4
2,16,4
1,1,5
1,2,5
1,3,5
1,4,5
1,5,6
1,6,6
1,7,6
1,8,6
1,9,7
1,10,7
1,11,7
1,12,7
