half,x1,1,2,3,4,x2,5,6,7,8,x3,9,10,11,12,x4,13,14,15,16
2,,Y,W,O,P,,Y,W,O,P,,W,Y,P,O,,Y,W,P,O
1,,W,Y,P,O,,W,O,P,Y,,Y,P,O,W,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
